search_alph,too_many_math,zero_math
AA,False,False
AB,True,False
AC,True,False
AD,True,False
AE,False,False
AF,False,False
AG,True,False
AH,True,False
AI,True,False
AJ,False,False
AK,True,False
AL,True,False
AM,True,False
AN,True,False
AO,False,False
AP,True,False
AQ,False,False
AR,True,False
AS,True,False
AT,True,False
AU,True,False
AV,True,False
AW,False,False
AX,False,False
AY,True,False
AZ,True,False
A',False,False
BA,True,False
BB,False,True
BC,False,False
BD,False,False
BE,True,False
BF,False,True
BG,False,True
BH,True,False
BI,True,False
BJ,False,False
BK,False,True
BL,True,False
BM,False,True
BN,False,True
BO,True,False
BP,False,True
BQ,False,True
BR,True,False
BS,False,False
BT,False,True
BU,True,False
BV,False,True
BW,False,True
BX,False,True
BY,True,False
BZ,False,False
B',False,True
CA,True,False
CB,False,True
CC,False,False
CD,False,True
CE,True,False
CF,False,True
CG,False,True
CH,True,False
CI,True,False
CJ,False,True
CK,False,True
CL,True,False
CM,False,False
CN,False,False
CO,True,False
CP,False,True
CQ,False,True
CR,True,False
CS,False,False
CT,False,True
CU,True,False
CV,False,False
CW,False,False
CX,False,True
CY,False,False
CZ,False,False
C',False,True
DA,True,False
DB,False,True
DC,False,True
DD,False,True
DE,True,False
DF,False,True
DG,False,True
DH,False,False
DI,True,False
DJ,False,False
DK,False,False
DL,False,False
DM,False,False
DN,False,True
DO,True,False
DP,False,True
DQ,False,True
DR,True,False
DS,False,False
DT,False,True
DU,True,False
DV,False,False
DW,False,False
DX,False,True
DY,True,False
DZ,False,False
D',True,False
EA,True,False
EB,True,False
EC,True,False
ED,True,False
EE,False,False
EF,False,False
EG,True,False
EH,True,False
EI,True,False
EJ,False,False
EK,False,False
EL,True,False
EM,True,False
EN,True,False
EO,False,False
EP,True,False
EQ,False,True
ER,True,False
ES,True,False
ET,False,False
EU,False,False
EV,True,False
EW,False,False
EX,False,False
EY,False,False
EZ,False,False
E',False,True
FA,True,False
FB,False,True
FC,False,True
FD,False,False
FE,True,False
FF,False,False
FG,False,False
FH,False,False
FI,True,False
FJ,False,False
FK,False,True
FL,True,False
FM,False,True
FN,False,True
FO,True,False
FP,False,True
FQ,False,True
FR,True,False
FS,False,True
FT,False,False
FU,True,False
FV,False,True
FW,False,False
FX,False,True
FY,False,False
FZ,False,True
F',False,True
GA,True,False
GB,False,False
GC,False,True
GD,False,False
GE,True,False
GF,False,False
GG,False,False
GH,True,False
GI,True,False
GJ,False,False
GK,False,False
GL,True,False
GM,False,False
GN,False,False
GO,True,False
GP,False,True
GQ,False,True
GR,True,False
GS,False,False
GT,False,False
GU,True,False
GV,False,False
GW,False,False
GX,False,True
GY,False,False
GZ,False,False
G',False,False
HA,True,False
HB,False,False
HC,False,True
HD,False,False
HE,True,False
HF,False,True
HG,False,False
HH,False,True
HI,True,False
HJ,False,False
HK,False,True
HL,False,False
HM,False,False
HN,False,False
HO,True,False
HP,False,True
HQ,False,True
HR,False,False
HS,True,False
HT,False,True
HU,True,False
HV,False,False
HW,True,False
HX,False,True
HY,False,False
HZ,False,False
H',False,False
IA,False,False
IB,True,False
IC,False,False
ID,False,False
IE,False,False
IF,False,False
IG,False,False
IH,False,False
II,False,False
IJ,False,False
IK,False,False
IL,True,False
IM,False,False
IN,True,False
IO,False,False
IP,False,False
IQ,False,False
IR,True,False
IS,True,False
IT,False,False
IU,False,False
IV,True,False
